time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance
133120,130,766,173,0.0042333687,-0.005411119619384408,0.6020144820213318,-0.006491037085652351,1.070762381516488e-05,0.2,-0.9175914235413074,0.02998046875,0.0003,1290,0.9867599522694945
134144,131,767,174,0.0073323846,-0.011350127134937793,0.5987035632133484,9.291832247981802e-05,1.4561319471795286e-05,0.2,-0.9081960894167423,0.10419921875,0.0003,1300,0.9862522045150399
135168,132,768,175,0.0038235332,-0.006544866436161101,0.5935779213905334,0.0011414701584726572,1.1991074831030347e-05,0.2,-0.9019385896623134,0.03583984375,0.0003,1310,0.9884307701140642
136192,133,768,177,0.0057424065,-0.006834719231119379,0.5914850234985352,-0.004691795911639929,1.0364242666582867e-05,0.2,-0.8957470878958702,0.06025390625,0.0003,1320,0.9898408381268382
137216,134,770,178,0.006382352,-0.008579388435464352,0.5870502591133118,-0.02216947078704834,6.467678562671608e-06,0.2,-0.8907737381756305,0.0869140625,0.0003,1330,0.9922320856712759
138240,135,771,179,0.005227212,-0.007140653327223845,0.5779873728752136,-0.02199561335146427,1.1779185831528593e-05,0.2,-0.878342704474926,0.051953125,0.0003,1340,0.9900172166526318
139264,136,771,180,0.008060552,-0.010872485575964675,0.574558675289154,-0.019693536683917046,3.0479302097319303e-06,0.2,-0.8673367716372014,0.1037109375,0.0003,1350,0.9795924667268991
140288,137,770,182,0.0046816794,-0.005274757684674114,0.5754836201667786,-0.004589884076267481,2.0335063489085316e-06,0.2,-0.8639803022146225,0.051171875,0.0003,1360,0.976402822881937
141312,138,770,183,0.012123512,-0.019738088909070937,0.5741039514541626,-0.01656402461230755,6.602066878969026e-07,0.2,-0.8659747309982777,0.18349609375,0.0003,1370,0.9251120463013649
142336,139,769,184,0.007808972,-0.011044219101313502,0.5733346343040466,-0.009864453226327896,9.515759607836572e-07,0.2,-0.8633045844733716,0.117578125,0.0003,1380,0.9603228196501732
143360,140,767,186,0.004929195,-0.0019072369846981018,0.5776049494743347,-0.003980292938649654,4.860214250612672e-07,0.2,-0.8656991750001908,0.017578125,0.0003,1390,0.9620398133993149
